GACC	State	Group	Site	Date	Fuel	Percent	
WGBC	NV	Nevada	Lewis Canyon	1985-06-30	Sagebrush, Basin Big	55	
WGBC	NV	Nevada	Lewis Canyon	1985-06-02	Sagebrush, Basin Big	118	
WGBC	NV	Nevada	Lewis Canyon	1984-09-22	Sagebrush, Basin Big	98	
WGBC	NV	Nevada	Lewis Canyon	1984-09-08	Sagebrush, Basin Big	103	
WGBC	NV	Nevada	Lewis Canyon	1984-08-25	Sagebrush, Basin Big	92	
WGBC	NV	Nevada	Lewis Canyon	1984-08-11	Sagebrush, Basin Big	91	
WGBC	NV	Nevada	Lewis Canyon	1984-07-28	Sagebrush, Basin Big	92	
WGBC	NV	Nevada	Lewis Canyon	1984-06-30	Sagebrush, Basin Big	102	
WGBC	NV	Nevada	Lovell Canyon	2008-09-08	1000-Hour	7	
WGBC	NV	Nevada	Lovell Canyon	2007-07-28	1000-Hour	7	
WGBC	NV	Nevada	Lovell Canyon	2007-06-30	1000-Hour	3	
WGBC	NV	Nevada	Lovell Canyon	2007-06-02	1000-Hour	7	
WGBC	NV	Nevada	Lovell Canyon	2005-06-30	1000-Hour	6	
WGBC	NV	Nevada	Lovell Canyon	2005-06-16	1000-Hour	8	
WGBC	NV	Nevada	Lovell Canyon	2004-09-08	1000-Hour	12	
WGBC	NV	Nevada	Lovell Canyon	2004-07-28	1000-Hour	6	
